date;nom_officiel_epci;code_officiel_epci;consommation;operateur;centroid
2019-08;Grand Nancy;245400676;50844410;GRTgaz;48.673467213,6.193510864
2019-09;Grand Paris;200054781;867923676;GRTgaz;48.843924589,2.3981689040000003
2019-09;Brest;242900314;60690099;GRTgaz;48.399766488,-4.470570034
2019-09;Montpellier;243400017;33812130;GRTgaz;43.615713457,3.863300356
2019-09;Euro Strasbourg;246700488;157927245;GRTgaz;48.572480043,7.717683131
2019-10;Toulon;248300543;35867132;GRTgaz;43.120017199,6.040528518
2019-11;Clermont Auvergne;246300701;280109572;GRTgaz;45.771532407,3.090485542
2019-12;Clermont Auvergne;246300701;300232853;GRTgaz;45.771532407,3.090485542
2020-01;Marseille;200054807;3963681128;GRTgaz;43.493308185,5.344536034
2020-01;Saint-Etienne;244200770;501988805;GRTgaz;45.472913756,4.418311566
2020-01;Nantes;244400404;620675988;GRTgaz;47.224910325,-1.593721407
2020-01;Clermont Auvergne;246300701;323647243;GRTgaz;45.771532407,3.090485542
2020-02;Nice;200030195;228048719;GRTgaz;44.021281136,7.154480276
2020-02;Rennes;243500139;349036719;GRTgaz;48.108214364,-1.711435099
2020-02;Tours;243700754;245281921;GRTgaz;47.38424743,0.629245819
2020-02;Orléans;244500468;235744786;GRTgaz;47.89783828,1.9293242830000001
2020-02;Euro Strasbourg;246700488;465869269;GRTgaz;48.572480043,7.717683131
2020-03;Grenoble;200040715;309500807;GRTgaz;45.141957344,5.718258638
2020-03;Grand Paris;200054781;4774876417;GRTgaz;48.843924589,2.3981689040000003
2020-03;Brest;242900314;223717044;GRTgaz;48.399766488,-4.470570034
2020-03;Rennes;243500139;332360719;GRTgaz;48.108214364,-1.711435099
2020-03;Saint-Etienne;244200770;371217896;GRTgaz;45.472913756,4.418311566
2020-03;Orléans;244500468;224120960;GRTgaz;47.89783828,1.9293242830000001
2020-03;Euro Strasbourg;246700488;452222438;GRTgaz;48.572480043,7.717683131
2020-03;Toulon;248300543;134978792;GRTgaz;43.120017199,6.040528518
2020-04;Nantes;244400404;177630021;GRTgaz;47.224910325,-1.593721407
2020-04;Orléans;244500468;98365467;GRTgaz;47.89783828,1.9293242830000001
2020-04;Euro Strasbourg;246700488;192805100;GRTgaz;48.572480043,7.717683131
2020-05;Grenoble;200040715;117912024;GRTgaz;45.141957344,5.718258638
2020-05;Brest;242900314;73090270;GRTgaz;48.399766488,-4.470570034
2020-05;Orléans;244500468;78010919;GRTgaz;47.89783828,1.9293242830000001
