date;nom_officiel_epci;code_officiel_epci;consommation;operateur;centroid
2018-04;Orléans;244500468;130148679;GRTgaz;47.89783828,1.9293242830000001
2018-04;Lille;200093201;571398827;GRTgaz;50.643899239,3.033354341
2018-04;Euro Strasbourg;246700488;235473459;GRTgaz;48.572480043,7.717683131
2018-05;Rouen;200023414;223644137;GRTgaz;49.413131944,1.027548527
2018-05;Montpellier;243400017;52664456;GRTgaz;43.615713457,3.863300356
2018-05;Clermont Auvergne;246300701;90627825;GRTgaz;45.771532407,3.090485542
2018-06;Marseille;200054807;1259575947;GRTgaz;43.493308185,5.344536034
2018-06;Orléans;244500468;63950349;GRTgaz;47.89783828,1.9293242830000001
2018-06;Grand Nancy;245400676;54557842;GRTgaz;48.673467213,6.193510864
2018-06;Lille;200093201;266769947;GRTgaz;50.643899239,3.033354341
2018-07;Nice;200030195;51448851;GRTgaz;44.021281136,7.154480276
2018-07;Grand Paris;200054781;658572122;GRTgaz;48.843924589,2.3981689040000003
2018-07;Brest;242900314;50273077;GRTgaz;48.399766488,-4.470570034
2018-07;Lille;200093201;229241880;GRTgaz;50.643899239,3.033354341
2018-07;Euro Strasbourg;246700488;135740552;GRTgaz;48.572480043,7.717683131
2018-08; Lyon;200046977;337241254;GRTgaz;45.763270618,4.853886453
2018-08;Dijon;242100410;23661903;GRTgaz;47.306577753,5.040958764
2018-08;Toulon;248300543;22562524;GRTgaz;43.120017199,6.040528518
2018-09; Lyon;200046977;421855377;GRTgaz;45.763270618,4.853886453
2018-09;Tours;243700754;38589080;GRTgaz;47.38424743,0.629245819
2018-09;Lille;200093201;300433467;GRTgaz;50.643899239,3.033354341
2018-09;Toulon;248300543;26078397;GRTgaz;43.120017199,6.040528518
2018-10;Rouen;200023414;603649110;GRTgaz;49.413131944,1.027548527
2018-10;Tours;243700754;104221532;GRTgaz;47.38424743,0.629245819
2018-10;Euro Strasbourg;246700488;285143396;GRTgaz;48.572480043,7.717683131
2018-11;Nice;200030195;202603117;GRTgaz;44.021281136,7.154480276
2018-11; Lyon;200046977;1216057983;GRTgaz;45.763270618,4.853886453
2018-11;Grand Paris;200054781;5116439874;GRTgaz;48.843924589,2.3981689040000003
2018-11;Euro Strasbourg;246700488;480431173;GRTgaz;48.572480043,7.717683131
2018-12;Marseille;200054807;3513936727;GRTgaz;43.493308185,5.344536034
2018-12;Brest;242900314;217853360;GRTgaz;48.399766488,-4.470570034
2018-12;Tours;243700754;300849033;GRTgaz;47.38424743,0.629245819
2019-01;Grand Paris;200054781;7172047899;GRTgaz;48.843924589,2.3981689040000003
2019-01;Grand Nancy;245400676;515193438;GRTgaz;48.673467213,6.193510864
2019-01;Clermont Auvergne;246300701;396727362;GRTgaz;45.771532407,3.090485542
2019-02;Nice;200030195;260569232;GRTgaz;44.021281136,7.154480276
2019-02;Grand Paris;200054781;5276853968;GRTgaz;48.843924589,2.3981689040000003
2019-02;Dijon;242100410;264930800;GRTgaz;47.306577753,5.040958764
2019-02;Saint-Etienne;244200770;456030061;GRTgaz;45.472913756,4.418311566
2019-02;Clermont Auvergne;246300701;264396232;GRTgaz;45.771532407,3.090485542
2019-03;Marseille;200054807;2759075907;GRTgaz;43.493308185,5.344536034
2019-03;Brest;242900314;213156671;GRTgaz;48.399766488,-4.470570034
2019-03;Orléans;244500468;233316120;GRTgaz;47.89783828,1.9293242830000001
2019-03;Lille;200093201;1068060890;GRTgaz;50.643899239,3.033354341
2019-04;Grand Paris;200054781;2890164871;GRTgaz;48.843924589,2.3981689040000003
2019-04;Marseille;200054807;2520418874;GRTgaz;43.493308185,5.344536034
2019-04;Saint-Etienne;244200770;284096576;GRTgaz;45.472913756,4.418311566
2019-04;Orléans;244500468;154821429;GRTgaz;47.89783828,1.9293242830000001
2019-05;Rouen;200023414;560435775;GRTgaz;49.413131944,1.027548527
2019-05;Metz;200039865;89042777;GRTgaz;49.100843858,6.148999731
2019-05;Grenoble;200040715;163465639;GRTgaz;45.141957344,5.718258638
2019-05;Brest;242900314;87046478;GRTgaz;48.399766488,-4.470570034
2019-05;Nantes;244400404;184316390;GRTgaz;47.224910325,-1.593721407
2019-05;Clermont Auvergne;246300701;126171703;GRTgaz;45.771532407,3.090485542
2019-06;Rouen;200023414;532646310;GRTgaz;49.413131944,1.027548527
2019-06; Lyon;200046977;367108385;GRTgaz;45.763270618,4.853886453
2019-06;Grand Paris;200054781;927198129;GRTgaz;48.843924589,2.3981689040000003
2019-06;Grand Nancy;245400676;60125626;GRTgaz;48.673467213,6.193510864
2019-06;Toulon;248300543;27957978;GRTgaz;43.120017199,6.040528518
2019-07;Rennes;243500139;55293372;GRTgaz;48.108214364,-1.711435099
2019-07;Saint-Etienne;244200770;105115130;GRTgaz;45.472913756,4.418311566
2019-08;Nice;200030195;45191258;GRTgaz;44.021281136,7.154480276
2019-08;Metz;200039865;23959288;GRTgaz;49.100843858,6.148999731
2019-08;Grenoble;200040715;119833317;GRTgaz;45.141957344,5.718258638
2019-08;Nantes;244400404;94327285;GRTgaz;47.224910325,-1.593721407
2019-08;Lille;200093201;216996697;GRTgaz;50.643899239,3.033354341
2019-08;Clermont Auvergne;246300701;39715538;GRTgaz;45.771532407,3.090485542
2019-08;Euro Strasbourg;246700488;128761949;GRTgaz;48.572480043,7.717683131
2019-09;Nice;200030195;51906601;GRTgaz;44.021281136,7.154480276
2019-09;Grenoble;200040715;131574382;GRTgaz;45.141957344,5.718258638
2019-09;Nantes;244400404;115418727;GRTgaz;47.224910325,-1.593721407
2019-10;Grenoble;200040715;174447656;GRTgaz;45.141957344,5.718258638
2019-10;Brest;242900314;85514522;GRTgaz;48.399766488,-4.470570034
2019-10;Montpellier;243400017;49844442;GRTgaz;43.615713457,3.863300356
2019-10;Grand Nancy;245400676;294347676;GRTgaz;48.673467213,6.193510864
2019-11;Rouen;200023414;727170427;GRTgaz;49.413131944,1.027548527
2019-11;Nice;200030195;217754019;GRTgaz;44.021281136,7.154480276
2019-11;Marseille;200054807;3986367986;GRTgaz;43.493308185,5.344536034
2019-11;Montpellier;243400017;183215547;GRTgaz;43.615713457,3.863300356
2019-11;Saint-Etienne;244200770;402853752;GRTgaz;45.472913756,4.418311566
2019-11;Grand Nancy;245400676;420029481;GRTgaz;48.673467213,6.193510864
2019-12;Nice;200030195;253837339;GRTgaz;44.021281136,7.154480276
2019-12;Dijon;242100410;289659869;GRTgaz;47.306577753,5.040958764
2019-12;Euro Strasbourg;246700488;558574509;GRTgaz;48.572480043,7.717683131
2019-12;Toulon;248300543;151205188;GRTgaz;43.120017199,6.040528518
2020-01;Grenoble;200040715;451083996;GRTgaz;45.141957344,5.718258638
2020-01;Dijon;242100410;314821637;GRTgaz;47.306577753,5.040958764
2020-01;Brest;242900314;236547162;GRTgaz;48.399766488,-4.470570034
2020-01;Lille;200093201;1350299361;GRTgaz;50.643899239,3.033354341
2020-02;Metz;200039865;248101806;GRTgaz;49.100843858,6.148999731
2020-02;Marseille;200054807;2972051099;GRTgaz;43.493308185,5.344536034
2020-02;Brest;242900314;218703269;GRTgaz;48.399766488,-4.470570034
2020-02;Grand Nancy;245400676;400850408;GRTgaz;48.673467213,6.193510864
2020-03;Metz;200039865;220651176;GRTgaz;49.100843858,6.148999731
2020-03;Marseille;200054807;2782888178;GRTgaz;43.493308185,5.344536034
2020-04;Dijon;242100410;81771987;GRTgaz;47.306577753,5.040958764
2020-04;Brest;242900314;94025525;GRTgaz;48.399766488,-4.470570034
2020-05;Nice;200030195;65035727;GRTgaz;44.021281136,7.154480276
2020-05;Grand Nancy;245400676;93303732;GRTgaz;48.673467213,6.193510864
2020-05;Toulon;248300543;34373600;GRTgaz;43.120017199,6.040528518
2020-06;Nice;200030195;52904552;GRTgaz;44.021281136,7.154480276
2020-06; Lyon;200046977;348287292;GRTgaz;45.763270618,4.853886453
2020-06;Dijon;242100410;33901044;GRTgaz;47.306577753,5.040958764
2020-07;Rouen;200023414;463323014;GRTgaz;49.413131944,1.027548527
2020-07; Lyon;200046977;365817936;GRTgaz;45.763270618,4.853886453
2020-07;Rennes;243500139;58804494;GRTgaz;48.108214364,-1.711435099
2020-07;Saint-Etienne;244200770;94049360;GRTgaz;45.472913756,4.418311566
2020-07;Clermont Auvergne;246300701;46220354;GRTgaz;45.771532407,3.090485542
2020-08;Dijon;242100410;23450394;GRTgaz;47.306577753,5.040958764
2020-08;Nantes;244400404;91164347;GRTgaz;47.224910325,-1.593721407
2020-08;Grand Nancy;245400676;56795157;GRTgaz;48.673467213,6.193510864
2020-08;Toulon;248300543;22484024;GRTgaz;43.120017199,6.040528518
2020-09; Lyon;200046977;420932199;GRTgaz;45.763270618,4.853886453
2020-09;Dijon;242100410;39351187;GRTgaz;47.306577753,5.040958764
2020-09;Lille;200093201;273303143;GRTgaz;50.643899239,3.033354341
2020-09;Euro Strasbourg;246700488;153762019;GRTgaz;48.572480043,7.717683131
2020-10;Grand Paris;200054781;2988099697;GRTgaz;48.843924589,2.3981689040000003
2020-10;Dijon;242100410;135398218;GRTgaz;47.306577753,5.040958764
2020-10;Montpellier;243400017;93548093;GRTgaz;43.615713457,3.863300356
2020-11;Marseille;200054807;3531863151;GRTgaz;43.493308185,5.344536034
2020-11;Rennes;243500139;288741993;GRTgaz;48.108214364,-1.711435099
2020-11;Clermont Auvergne;246300701;215929315;GRTgaz;45.771532407,3.090485542
2020-12;Brest;242900314;209540771;GRTgaz;48.399766488,-4.470570034
2020-12;Orléans;244500468;279705565;GRTgaz;47.89783828,1.9293242830000001
2020-12;Toulon;248300543;183318634;GRTgaz;43.120017199,6.040528518
2021-01;Rouen;200023414;998006145;GRTgaz;49.413131944,1.027548527
2021-01;Montpellier;243400017;280572135;GRTgaz;43.615713457,3.863300356
2021-01;Rennes;243500139;484486686;GRTgaz;48.108214364,-1.711435099
2021-01;Lille;200093201;1488683841;GRTgaz;50.643899239,3.033354341
2021-01;Euro Strasbourg;246700488;647222790;GRTgaz;48.572480043,7.717683131
2021-02;Rouen;200023414;792053131;GRTgaz;49.413131944,1.027548527
2021-02;Marseille;200054807;3148218406;GRTgaz;43.493308185,5.344536034
2021-02;Nantes;244400404;557290503;GRTgaz;47.224910325,-1.593721407
2021-02;Euro Strasbourg;246700488;509373628;GRTgaz;48.572480043,7.717683131
2021-03;Orléans;244500468;244002071;GRTgaz;47.89783828,1.9293242830000001
2021-04;Dijon;242100410;136143274;GRTgaz;47.306577753,5.040958764
2021-05;Rouen;200023414;243784770;GRTgaz;49.413131944,1.027548527
2021-05;Marseille;200054807;1831523453;GRTgaz;43.493308185,5.344536034
2021-05;Saint-Etienne;244200770;212488078;GRTgaz;45.472913756,4.418311566
2021-05;Toulon;248300543;50992315;GRTgaz;43.120017199,6.040528518
2021-06;Grenoble;200040715;116326100;GRTgaz;45.141957344,5.718258638
2021-06; Lyon;200046977;376670802;GRTgaz;45.763270618,4.853886453
2021-06;Tours;243700754;33718635;GRTgaz;47.38424743,0.629245819
2021-06;Lille;200093201;236436814;GRTgaz;50.643899239,3.033354341
2021-07;Metz;200039865;22314265;GRTgaz;49.100843858,6.148999731
2021-07;Grenoble;200040715;128346976;GRTgaz;45.141957344,5.718258638
2021-07;Grand Paris;200054781;747963109;GRTgaz;48.843924589,2.3981689040000003
2021-08;Metz;200039865;26169527;GRTgaz;49.100843858,6.148999731
2021-08;Montpellier;243400017;27380514;GRTgaz;43.615713457,3.863300356
2021-08;Clermont Auvergne;246300701;42787946;GRTgaz;45.771532407,3.090485542
2021-08;Euro Strasbourg;246700488;116348065;GRTgaz;48.572480043,7.717683131
2021-09; Lyon;200046977;400932258;GRTgaz;45.763270618,4.853886453
2021-09;Montpellier;243400017;33357455;GRTgaz;43.615713457,3.863300356
2021-09;Nantes;244400404;114294102;GRTgaz;47.224910325,-1.593721407
2021-10;Saint-Etienne;244200770;250232500;GRTgaz;45.472913756,4.418311566
2021-10;Lille;200093201;577340698;GRTgaz;50.643899239,3.033354341
2021-10;Euro Strasbourg;246700488;355416242;GRTgaz;48.572480043,7.717683131
2021-11;Rouen;200023414;527856047;GRTgaz;49.413131944,1.027548527
2021-12;Rennes;243500139;395097629;GRTgaz;48.108214364,-1.711435099
2021-12;Nantes;244400404;619943838;GRTgaz;47.224910325,-1.593721407
2021-12;Lille;200093201;1218990155;GRTgaz;50.643899239,3.033354341
2021-12;Euro Strasbourg;246700488;569464204;GRTgaz;48.572480043,7.717683131
2022-01;Rouen;200023414;916142602;GRTgaz;49.413131944,1.027548527
2022-01;Rennes;243500139;435266555;GRTgaz;48.108214364,-1.711435099
2022-01;Tours;243700754;338489397;GRTgaz;47.38424743,0.629245819
2022-01;Grand Nancy;245400676;435877551;GRTgaz;48.673467213,6.193510864
